Total screens in Stitch: 142
ID: c6a56deca4f74bcea4ee9934f0deff0e | Title: Job Feed Audit
ID: 633f6ae58cad48348513126bf0fb0331 | Title: Generated Screen
ID: 365ae5903f1b4cd7b71d855429b4437d | Title: Generated Screen
ID: b70d32de832944efa68ab8c2cd4b6f1e | Title: Generated Screen
ID: 555b4e37162048089419841e04eba60d | Title: Generated Screen
ID: 68c9f1ee1ac843d8a3082d249ff010a1 | Title: Generated Screen
ID: 84f91710924a4adebecc822d4cb46379 | Title: Generated Screen
ID: c8318c70021544c2a3ee2c090f0f10e5 | Title: Generated Screen
ID: 3909e7a7d2014b2f89353095cb0ab5d6 | Title: Generated Screen
ID: 2f8ef3a1467a4b77986aa856dc6db5d4 | Title: Generated Screen
ID: 867d3297851b429a81bc0648f407da7a | Title: Generated Screen
ID: fc881b51ca4b4d50b06163575e41b9c7 | Title: Generated Screen
ID: 54fed24932444f409a266120e009dd82 | Title: Generated Screen
ID: 7fa90ad70f16435d94818c3e00b27a71 | Title: Generated Screen
ID: 29c788772fc8491dab11c8d36a9bfdc2 | Title: Generated Screen
ID: 1f1217ea7a48431a9611009699a0995a | Title: Generated Screen
ID: 1f212eb4f12f4ab28aa6c834fc768977 | Title: Generated Screen
ID: 01a2748cc4494d499a91c2a0063d6451 | Title: Generated Screen
ID: 5b1ca6f041de4a52aa5d3a907158e3b3 | Title: Generated Screen
ID: 70d8e8d3d1684104b71252617535960c | Title: Generated Screen
ID: 95639e11b7494749aaefd4519ec819fb | Title: Generated Screen
ID: 795ad44bab1746bc815089dc8e1c2fc5 | Title: Generated Screen
ID: 66c8fff91d254b59939d059971426c63 | Title: Generated Screen
ID: 04007989fe1847fc8badac9c00de6535 | Title: Generated Screen
ID: f7bb5fd27aa340699ff0dc9657db484b | Title: Skill Assessment - UI/UX Design
ID: fe326acb3d604f92b291041db2a6112f | Title: Generated Screen
ID: 357571947eb44169b0f471f7e697c189 | Title: Generated Screen
ID: c99b98785b614ec9a2d8edf4b8b00194 | Title: Generated Screen
ID: 9f209799d83f46288095bb76cbb80daa | Title: Generated Screen
ID: 20e7f8d22efd4573a08cc3a0b1f409e1 | Title: Generated Screen
ID: 5b855405a15449d8beb5876355dfecbc | Title: Generated Screen
ID: 4abdf8261a4a47c6ba5eedb66ddd4752 | Title: Edit Profile - HireIQ
ID: 24e679f90dc244fa99bdaa9e86002b7c | Title: Generated Screen
ID: 09d90d7c8a4d47b5b394fb5a88786940 | Title: Generated Screen
ID: c0c16c1cc49b4e728c11c5737c8fcc43 | Title: Generated Screen
ID: 07294a23f6474b18ad371a3f98317292 | Title: Generated Screen
ID: 5a386973c9464f5e9b9ceca64b027942 | Title: Generated Screen
ID: d7ca0b69adbb4bbc9b2e34f1f04843fd | Title: Generated Screen
ID: dd574a2467a64ef683ae5af3ad6f9d19 | Title: Generated Screen
ID: baa1e2600fb047eb88fbe9be7bd2e3ae | Title: Generated Screen
ID: 9e031d68f4084209b2899a843cce1158 | Title: SignalIQ Deep Scan Report
ID: 2fda308f6a5a4ef791a30bb09bf42cc5 | Title: Generated Screen
ID: 9436728c207e4726aa68056b2887e8ab | Title: Generated Screen
ID: dcb168f3853445e8b2f120caea85739b | Title: Generated Screen
ID: 1dda6f0216af463aa5796aacec847a7b | Title: Generated Screen
ID: 0abb4ea577fa41f99325f6bc5222b31a | Title: Sign Up Audit
ID: c6a35553ce8c4d93889a653e7dd80895 | Title: Generated Screen
ID: c8c0a0a650ee48ee80ca20a40134fa70 | Title: Splash Screen Audit
ID: edc3ee101ff546cc9be49d739aa3dace | Title: Onboarding Step 1 Audit
ID: 96f5ab8c91ac4637a9c6fdbb882c461f | Title: Assessment Result Audit
ID: 73ac8389b6c3474d87dbffa31bd2457f | Title: Leave Review
ID: 0bb144415f3c49d78c908d9dca4b061a | Title: Generated Screen
ID: 0e4437b9e9c84f9cadf46c5829b279bc | Title: Generated Screen
ID: 7dcc0a83fa7f4dbaa605d5f74f49fb59 | Title: Generated Screen
ID: 568f2c77b11e4fbb840fc9d4cb07367e | Title: Generated Screen
ID: fee977af870b4ae3891ebe1a5d3bc729 | Title: Generated Screen
ID: 3ccfe773b6394fb3b79889f997522307 | Title: Generated Screen
ID: 7c82ccd55d364cd0a61807c79a42739c | Title: Generated Screen
ID: 4283aa79fe7249d49c41df88b52c8a4e | Title: Role Selection Updated
ID: 3aceeabad2b34b299af2d8edec6bb22b | Title: Generated Screen
ID: 3c0d760e58074850acf9434640749c4a | Title: Generated Screen
ID: 9fce502d9be743e1893696fd11446aad | Title: Generated Screen
ID: f62a851155ab446a8da43b48887d0d50 | Title: Generated Screen
ID: 17dd8aefe3834f52a9abea90257a9ac2 | Title: Generated Screen
ID: bec7001716474525945165f57876dd47 | Title: Email Verification Pending
ID: c6407e3b1e0a4a799787a4eb4073ed0b | Title: Generated Screen
ID: 3e944278806f49c08e0c63745abb0a63 | Title: Forgot Password - Updated Illustration
ID: 5cb710a738bd46e8bffb7db4a04d689c | Title: Recruiter Dashboard Audit
ID: 1403720079754cb68c3e9d2e8c9b3e6a | Title: Generated Screen
ID: cc1f195d6bd24a36a3514de05b597122 | Title: Generated Screen
ID: 5f571ebc28c748ae94084e7febef1a8a | Title: Generated Screen
ID: 1c62c99f8f59462dade19c6ce7e22a18 | Title: Enterprise Team Management
ID: c617db7e600544bba579f71c8abfb05f | Title: Enterprise Dashboard
ID: 5244bdb10682479fa32dbb407cab82f9 | Title: Generated Screen
ID: 4d5c9e3688764c06a1e149df830de36b | Title: Generated Screen
ID: e063c388494b4f4196981d93ec6eda56 | Title: Generated Screen
ID: 390cfc5350c548baa607eb78d0ce2734 | Title: Generated Screen
ID: 2bbaaaea610148b29a0c4ad95e2ed4f3 | Title: Employer Dashboard Audit
ID: f609e6eea085451db0b537b41773e95c | Title: Generated Screen
ID: b98c3b22aca54afdac79619cf9f5745c | Title: Candidate Shortlist View
ID: ca1e77e575894265ba7d47b6c988193d | Title: Generated Screen
ID: e5e646d38f7b4e919ed9b238e55dfc11 | Title: Generated Screen
ID: 5e3d3d4486a94f4b9e779cd7afc0b194 | Title: Application Details - Stripe
ID: d9a676b99371498e9dc85b0e8921a93e | Title: Generated Screen
ID: 133855f9f7544cbcb491261c1e49398c | Title: Generated Screen
ID: 080ff4153c334cf786810774e03827ee | Title: Generated Screen
ID: 49025bf2b9f7420cb4f5467ed40c3537 | Title: Generated Screen
ID: 07b60ff38a6f4d3fa4e7b5cc5fb369b3 | Title: Generated Screen
ID: 6094fae8a140470b89bcad243867473b | Title: Generated Screen
ID: d455f2302766483693f76a8a1fc8a530 | Title: Release Payment
ID: d8f9c2282ee24231a579b076fd4fb274 | Title: Generated Screen
ID: 9b5f9590d3234e71aa2006dcb3cc9ca6 | Title: Login Audit
ID: ba07eb9018ac4e61af00bd86147dc8c5 | Title: Career Path Audit
ID: 1f0ca55eadf540dda9b423c7911105ca | Title: Generated Screen
ID: 0eec3cdf25f74e6cafc5b1705c0f017c | Title: Generated Screen
ID: 084b543912b04a0c98ab8b31922822a0 | Title: Generated Screen
ID: 2550951889d8492e9a2c78f07d76d994 | Title: Generated Screen
ID: 5e2b0e7a269240b79792d38349d862f8 | Title: Generated Screen
ID: 902f3f3b84ef4808b024b9dbeee267ef | Title: Password Reset Confirmed
ID: 486552e12c204974843f8b0a0be4bff9 | Title: Generated Screen
ID: 87c24222ff174943b191b99f0c681353 | Title: Generated Screen
ID: 15a13ef6bb6f42ebaefbc5d34bc8975a | Title: Generated Screen
ID: cc478828b9144b8283f81281b0beb12e | Title: Generated Screen
ID: d72b93abb8234161ae9b2dde7e0d348d | Title: Generated Screen
ID: d149053b3ec5415a96adaafab7b428d5 | Title: Generated Screen
ID: d5d604f10e76466ba053c2949d19f2ae | Title: Generated Screen
ID: 23b7ce9c886143b7b1aca0f2c2772e5b | Title: Generated Screen
ID: 75afeaf0edf7448abe85c562be8b5105 | Title: Generated Screen
ID: d6098693fd52415bba35563996ec6602 | Title: Generated Screen
ID: 5bfb566f81a749e7828aead4031b036e | Title: Generated Screen
ID: dab231495e764910a1968ec371f8f04f | Title: Generated Screen
ID: 745295fe6cec4b6784299689c77cbde6 | Title: Google Sign-in Loading
ID: 2b9f9775a9064e1bb08ea710ec676e71 | Title: CV Download Preview
ID: 628cf26a34ac4e8f95dd3840be021d99 | Title: Generated Screen
ID: 1ca33f3b4bd449008eac1a69b41e4739 | Title: Enterprise Diversity Report
ID: 4a92608b576b4e89a24a95eea52000f8 | Title: Generated Screen
ID: 4e19e3c1f964452d9054d8a507f15f7f | Title: Application Tracker Audit
ID: 35cb5db86f1543f9a4718614afbb175d | Title: Generated Screen
ID: 007727096fdc4eedaef6f3e55b5d9506 | Title: 01_splash_v2
ID: 186722d2c7dd4ff3bb4b62760bbc03db | Title: Open Dispute
ID: a9e99b425fb54b96944585745b9ba605 | Title: Role Selection Audit
ID: 9050f78ce13b43b99af685ffa5213d26 | Title: Assessment Results - HireIQ
ID: b77af74131d24005aa92886845c5b20d | Title: Generated Screen
ID: 1caeb8ff641d4d4099e3a89bc15f638c | Title: Generated Screen
ID: 0169056ca9974b69a3a6a777142d0747 | Title: Generated Screen
ID: 866665ef39a74790b11ddff777c1c45f | Title: Candidate Profile Audit
ID: bf62cc24c5ff489ab5912b938c6ed2fd | Title: Generated Screen
ID: 4a7591c07c8a4464a745b564cd13b793 | Title: Video Pitch Recording - HireIQ
ID: 96cebfd3577c4b16880e137c19c0bd86 | Title: Generated Screen
ID: d0c75aa18fd14070812786335e066560 | Title: Job Detail Audit
ID: fe7b441559bf4c24bc484225768bb457 | Title: Generated Screen
ID: c6f8f975fdf4453c8c1a796ded14df36 | Title: Generated Screen
ID: a947dada2b654e3294c83b9ae8a96f7b | Title: Generated Screen
ID: 85724a75008e4fbc94a35c0553a77b8c | Title: Wildcard Score Detail
ID: 1ab9deffa3154ce48b0e288247fc5e61 | Title: Generated Screen
ID: 8eeee3906b424043a0a7356afc8ee169 | Title: Generated Screen
ID: 3e2f0767428e47a38992a29e276ae524 | Title: Generated Screen
ID: 9f699428a44c4623a8561caa68785294 | Title: Phone OTP Verification
ID: 28cfd08235b5457b9fef41ad37c0e9dc | Title: Generated Screen
ID: 359c1fc280c345e3b4aa99aba8621f39 | Title: Generated Screen
ID: 9ff13e66ddc64557bf597f6784041eb4 | Title: Generated Screen
ID: 6372191f59f14624a2a588cbc13ce2c4 | Title: Generated Screen
